Name,Type,# of files,# of active files,% of active files,% of files renamed,% of active files renamed,
origin/1.8-stable,MAINT,134,8,5.97,0.0,0.0,
origin/1.9-stable,MAINT,142,78,54.92,0.0,0.0,
origin/1.x-master,MAINT,230,187,81.3,3.04,3.74,
origin/bug_14683,MAINT,230,2,0.86,0.0,0.0,
origin/commitplease,MAINT,230,1,0.43,0.0,0.0,
origin/delegation,MAINT,230,6,2.6,0.0,0.0,
before first release tag,INIT,29,29,100.0,51.72,51.72,
1.0,DEV,53,42,79.24,3.77,4.76,
1.1,DEV,70,52,74.28,40.0,53.84,
1.2,DEV,98,69,70.4,0.0,0.0,
1.3rc1,DEV,102,64,62.74,2.94,4.68,
1.4rc1,DEV,120,77,64.16,3.33,5.19,
1.5rc1,DEV,107,62,57.94,0.0,0.0,
1.6rc1,DEV,125,71,56.8,0.8,1.4,
1.7rc1,DEV,138,105,76.08,0.0,0.0,
1.8rc1,DEV,137,93,67.88,0.0,0.0,
1.9.0b1,DEV,151,102,67.54,1.98,2.94,
2.0.0-beta3(last release !),DEV,230,160,69.56,3.04,4.37,
