Release,Type,# of files,# of active files,% of active files,# of modifications,# of renames,% of renames,% of files renamed,% of active files renamed
1.3,MAINT,15,15,100.0,61,0,0.0,0.0,0.0
2.3,MAINT,94,94,100.0,280,0,0.0,0.0,0.0
3.0,MAINT,226,213,94.24,506,3,0.59,1.32,1.4
3.1,MAINT,217,22,10.13,32,0,0.0,0.0,0.0
3.2,MAINT,345,183,53.04,414,0,0.0,0.0,0.0
3.3,MAINT,454,400,88.1,719,24,3.33,5.06,5.75
3.4,MAINT,575,1,0.17,1,0,0.0,0.0,0.0
3.5,MAINT,272,1,0.36,1,0,0.0,0.0,0.0
3.6,MAINT,287,1,0.34,2,0,0.0,0.0,0.0
3.7,MAINT,318,4,1.25,6,0,0.0,0.0,0.0
4.0,MAINT,391,2,0.51,6,0,0.0,0.0,0.0
4.1,MAINT,375,1,0.26,1,0,0.0,0.0,0.0
init,INIT,276,276,100.0,15807,663,4.19,78.26,78.26
3.5.0,DEV,272,210,77.2,1073,6,0.55,2.2,2.85
3.6.0,DEV,307,212,69.05,989,3,0.3,0.97,1.41
3.7.0,DEV,391,387,98.97,2623,374,14.25,94.11,95.09
