v0,v1,kind,nf,naf,paf,pfr,pafr
init,0.10,init,170,170,100.0,26.47,26.47
0.10,0.11,minor,180,101,56.11,2.22,3.96
0.11,0.12,minor,192,93,48.43,0.0,0.0
0.12,0.13,minor,217,123,56.68,0.0,0.0
0.13,1.1,major,312,253,81.08,8.33,10.27
1.1,2.0,major,373,335,89.81,5.09,5.67
2.0,2.1,minor,436,298,68.34,0.45,0.67
2.1,2.2,minor,467,284,60.81,0.42,0.7
2.2,2.3,minor,482,257,53.31,0.2,0.38
2.3,3.0,major,570,565,99.12,26.49,26.72
3.0,3.1,minor,630,503,79.84,1.11,1.39
3.1,3.2,minor,684,451,65.93,0.14,0.22
3.2,4.0,major,734,689,93.86,4.9,5.22
