name,kind,nf,naf,paf,pfr,pafr
init $\triangleright$ 1.0,INIT,4,4,100.0,100.0,100.0
1.0 $\triangleright$ 1.1,DEV,12,12,100.0,0.0,0.0
1.1 $\triangleright$ 1.2,DEV,8,8,100.0,62.5,62.5
1.2 $\triangleright$ 1.3,DEV,11,10,90.9,0.0,0.0
1.3 $\triangleright$ 1.4,DEV,16,16,100.0,6.25,6.25
1.4 $\triangleright$ 1.5,DEV,19,19,100.0,15.78,15.78
1.5 $\triangleright$ 1.6,DEV,21,19,90.47,0.0,0.0
1.6 $\triangleright$ 1.7,DEV,22,18,81.81,0.0,0.0
1.7 $\triangleright$ 1.8,DEV,26,26,100.0,0.0,0.0
1.8 $\triangleright$ 1.9,DEV,26,23,88.46,0.0,0.0
1.9 $\triangleright$ 2.0,DEV,29,28,96.55,0.0,0.0
2.0 $\triangleright$ 2.1,DEV,81,81,100.0,7.4,7.4
1.8,MAINT,26,3,11.53,0.0,0.0
1.9,MAINT,27,20,74.07,0.0,0.0
